i,theta,theta_dot,u
0000,-0.9618981633974483,0.5596211099466356,0.7214262627160918
0001,-0.9617481633974483,0.5697772299845287,0.7213138755366282
0002,-0.9614481633974483,0.5794896468071982,0.7210760703664597
0003,-0.9609981633974484,0.589066474472342,0.720745583605368
0004,-0.9603981633974484,0.5985374744683418,0.7202988434269418
0005,-0.9596481633974485,0.6079098185805043,0.7197359062160382
0006,-0.9587481633974486,0.617185542314498,0.7190577038333575
0007,-0.9576981633974487,0.6263649777124576,0.7182737841392793
0008,-0.9564981633974489,0.6354477563906445,0.7173465590754677
0009,-0.955148163397449,0.6444331777232487,0.7163717448390357
0010,-0.9536481633974492,0.6533203661972762,0.7152629083300567
0011,-0.9519481633974494,0.662361262421462,0.7139617871103753
0012,-0.9500981633974496,0.6712556138172482,0.71256992180345
0013,-0.9480481633974498,0.6802219414867497,0.7110347555984426
0014,-0.94584816339745,0.6890231242156567,0.7093862355334173
0015,-0.9434481633974503,0.6978469861785535,0.7075862425453276
0016,-0.9408981633974506,0.7064986640991886,0.7056739879549854
0017,-0.9381481633974509,0.7151402120953241,0.7036125212134634
0018,-0.9351981633974512,0.7237480604468347,0.7013974978350805
0019,-0.9320481633974516,0.7323031076151361,0.6990359100164422
0020,-0.9286981633974519,0.7407896638912794,0.6965236141584391
0021,-0.9251481633974523,0.749194669768934,0.6938613098507952
0022,-0.9214481633974527,0.757399757146606,0.689395696538591
0023,-0.9175481633974532,0.765516030332227,0.547000500052348
0024,-0.9134481633974536,0.7735337838177395,0.4086167213810702
0025,-0.9091481633974541,0.7814445667476495,0.273851829659699
0026,-0.9046481633974546,0.7892409430964665,0.1423626014925111
0027,-0.8999481633974551,0.7969163029255935,0.01384901413838194
0028,-0.8949981633974556,0.8045395221739701,-0.12265873611483634
0029,-0.8898481633974562,0.8120220308154262,-0.25675494764906304
0030,-0.8844981633974568,0.8193597203982932,-0.3875835940171637
0031,-0.8789981633974574,0.826485794197904,-0.5143249488634898
